Nodo_2 13:14:34.720571 raft.go:616: logger initialized
Nodo_2 13:14:37.243743 raft.go:181: Contacto con el nodo 0
Nodo_2 13:14:37.561453 raft.go:181: Contacto con el nodo 1
Nodo_2 13:14:38.274925 raft.go:220: El master no me contesta, empiezo candidatura
Nodo_2 13:14:39.679992 raft.go:273: El nodo 0 me ha dicho true
Nodo_2 13:14:39.680476 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:39.680476 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:39.681978 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:39.681978 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:39.681978 raft.go:299: Me convierto en master
Nodo_2 13:14:39.691985 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:39.691985 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:39.692485 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:39.692485 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:39.812206 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:39.812206 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:39.812707 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:39.812707 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:39.927784 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:39.927784 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:39.928284 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:39.928284 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.041287 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.041358 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.041358 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.041358 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.155933 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.155933 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.156435 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.156435 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.271511 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.271511 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.272012 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.272012 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.390034 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.390034 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.390534 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.390534 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.508114 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.508615 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.508615 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.508615 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.618687 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.618687 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:40.619186 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:40.619186 raft.go:501: Nodo 1 tiene hasta la entrada -1
